Position,x,y,X2,Y2
1,1,3,-1,1
2,2,3,0,1
3,3,3,1,1
4,1,2,-1,0
5,2,2,0,0
6,3,2,1,0
7,1,1,-1,-1
8,2,1,0,-1
9,3,1,-1,-1
